课题名称	批准号	学科分类	项目负责人	职称	单位	金额	项目类别	研究期限	中文主题词	英文主题词	中文摘要	英文摘要	
微生物矿化与地质微生物	41822704	 (  )	林巍		中国科学院地质与地球物理研究所	130.00万元	优秀青年科学基金项目	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
森林土壤微生物	31722014	森林土壤学 ( C1606 )	袁志林	副研究员	中国林业科学研究院亚热带林业研究所	130.00万元	优秀青年科学基金项目	2018 年 01 月 01 日 至 2020 年 12 月 31 日	森林土壤微生物及其功能；土壤微生物区系；菌根；根际土壤	Soil microbes in forests and related functions;Soil microbial communities;Mycorrhizae;Rhizosphere soils	森林土壤肥力、林木营养和生态适应性与微生物活动密不可分。与其他类群不同，内源共生菌是连接森林地上和地下生命活动的关键成员，深入理解其科学内涵及生态服务功能仍是亟待探索的重要基础科学问题。申请人在该领域的研究取得重要突破：发现了针叶内生菌在分解凋落物性能及生理生态机制等方面对养分循环的重要作用；论述了根系新型暗色有隔内生菌促进有机质矿化、林木养分吸收和适逆的重要功能；揭示了土壤微生物在根际的组装机制并提出泛人工合成菌群的新观点。发表第一作者（含通讯）SCI论文16篇，累计IF超50，他引190次，最高他引47次；近5年以通讯作者发表SCI论文7篇，最高IF是11.847，应邀撰写The Mycota专著章节，国际会议报告3次。拟开展工作将从系统生物学角度阐述促生、适逆林木根际菌群形成机制，以期加深认识多元土壤微生物群落的耦合效应对林木生产力和适应性的驱动机制，为集成高效育苗技术奠定理论基础。	"Soil microbes are essential for accelerating litter decomposition, mineralization of organic materials and improving tree productivity and adaptation. Unlike the other microbial groups, endophytes are ecologically important that link the above-ground and below-ground metabolic activities in forest ecosystems. A better understanding of the ecological services imparted by tree endophytes is required. Rapid progress has been made as described below. First, we have revealed the pivotal role of conifer endophytes in litter decomposition as well as the physiological and molecular mechanisms underlying this process. This finding emphasizes that the tree endophytes are the important players in the cycling of soil nutrients. We also have identified a novel type of root-fungal symbiosis formed by a group of melanized fungi in Ascomycota, which proved to be beneficial for enhancing plant growth and salt tolerance. Especially, the plant-growth promoting effect is nitrogen-status dependent, which means that the melanized fungi could promote plant growth only when the nitrogen source in the substrate is in the organic form. We further deciphered the assembly, functional traits of a halophyte root microbiome and its role in regulating plant salt tolerance, which is a great step for getting a better understanding of how root-associated microbes influence plant phenotype and physiology. Besides, we introduced a novel concept “pan-SMCs”, which will be reconstructed based on the core and generalist beneficial microbial communities. The applicant (as first and/or corresponding author) had a publication list of over 16 papers in peer reviewed journals (some of them were top-tier journals) with high non-self citations. Also, a book chapter (invited) had been published in The Mycota. In addition, the applicant attended a couple of international conferences with oral presentations. In this proposal, we aim to demonstrate the acquisition and artificial synthesis of the rhizosphere microbiome that can significantly improve tree growth and stress tolerance. Briefly, our work will shed light on the contributions of soil microbiome to improving tree fitness under adverse conditions. From the view of application, it will provide a basis for generating robust microbial inoculants that can be utilized in seedlings plantation."	
微生物催化	31822002	微生物生物化学 ( C010202 )	吴边		中国科学院微生物研究所	130.00万元	优秀青年科学基金项目	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
海洋环境微生物	41922041	生物海洋学与海洋生物资源 ( D0604 )	王万鹏		自然资源部第三海洋研究所	130.00万元	优秀青年科学基金项目	2020 年 01 月 01 日 至 2022 年 12 月 01 日					
微生物群落结构分析中被遗漏新类型微生物的挖掘	31870109	极端环境及其他环境微生物学 ( C010504 )	全哲学		复旦大学	59.00万元	面上项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
面向高性能微生物燃料电池的产电微生物功能化	21804070	生物电分析化学 ( B040205 )	宋荣斌		南京大学	27.50万元	青年科学基金项目	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
水域微生物生态学	31722008	湿地与内陆水体生态学 ( C030604 )	邢鹏	副研究员	中国科学院南京地理与湖泊研究所	130.00万元	优秀青年科学基金项目	2018 年 01 月 01 日 至 2020 年 12 月 31 日	碳氮磷循环；颗粒有机物；厌氧微生物；温室气体；物质循环	carbon-nitrogen-phosphorus cycle;particulate organic matter;anaerobic microbes;greenhouse gas;material circulation	申请人长期从事水域微生物生态学研究，重点开展藻类水华分解过程中的微生物生态学机制研究。最早明确了缺氧和厌氧条件下，新的梭菌类群是参与微囊藻生物质转化的关键功能群；提出氢营养型的产甲烷途径是藻源性有机质彻底分解的主要过程；首次揭示了拟杆菌门的极地杆菌具有代谢硅藻多糖及含硫基团有机物的特异途径，阐明其在硅藻水华分解过程中形成优势的机制。上述研究工作，揭示了典型水域中藻源性有机碳的分解代谢过程及微生物转化机制，拓展了对水域生态系统碳循环和能量流动过程的认识，有助于推动湖泊生态系统结构和功能的研究。申请人以通讯/第一作者发表SCIE论文11篇，其中生态学领域排名第三的期刊The ISME Journal 2篇，单篇最高影响因子9.328。全部论著SCI他引次数444次，通讯/第一作者SCIE论文他引80次。荣获2015度中国生态学会微生物专业委员会“哈宜环保-微生物生态青年科技创新奖”特等奖。	"The applicant has concentrated on the topic of microbial community structure and the ecological function in the past ten years. The main scientific question focused on is the microbial community and their ecological roles in the transforming processes of algae blooms in the aquatic ecosystems. The study has been facilitated by the application of advanced molecular biological techniques developed in the last two decades. Novel Clostridium spp. has been firstly detected during the anaerobic degradation of cyanobacteria blooms. Clostridium spp. and the hydrogen-utilizing methanogens cooperated in the complete degradation of cyanobacteria biomass to greenhouse gas methane. Polaribacter spp. have specific metabolism pathway for the polysaccharide laminarin and sulfur-containing chondroitin during the diatom blooms breakdown, which was molecular machismos of their dominance during the diatom bloom degradation. In summary, based on the above works, the applicant has a good knowledge of bacterioplankton community composition, the regulated factors and their ecological functions in the aquatic ecosystems. The obtained results have also deepened and broadened our understanding on the structure and function of lake ecosystems. Eleven peer-reviewed articles have been published during the last few years with the applicant as the first and/or the corresponding authors with eighty SCI citation of the results in these papers strictly excluding the self-citation. The applicant was awarded by the society of microbial ecology for her outstanding work in this field in year 2015."	
微生物表观遗传	31925002	微生物功能基因 ( C010301 )	陈实		武汉大学	400.00万元	国家杰出青年科学基金	2020 年 01 月 01 日 至 2024 年 12 月 01 日					
煤层重烃气的微生物降解特征及其微生物种群响应	41702172	煤地质学 ( D0208 )	兰凤娟	讲师	中国矿业大学	23.00万元	青年科学基金项目	2018 年 01 月 01 日 至 2020 年 12 月 31 日	重烃气；厌氧降解；微生物；模拟实验；降解条件	heavy hydrocarbon gas;anaerobic oxidation;microorganism;simulation experiment;condition of degradation	近年来气态烷烃（C2-C4）的微生物降解取得了突破，实现了硫酸盐还原菌对气态烷烃的厌氧降解，这为煤层中微生物厌氧降解重烃气（C2-C4）的研究提供了理论依据。云南省恩洪向斜煤层气根据重烃气含量可分为“干气区”和“湿气区”， 且“干气区”表现出了生物成因气的地化特征。因此，本项目拟以恩洪向斜为研究区，开展煤层中微生物对重烃气厌氧降解的研究。以恩洪向斜“干气区”为菌源，筛选出能够代谢重烃气的厌氧细菌，开展微生物厌氧降解重烃气的模拟实验，重点分析微生物降解乙烷、丙烷、正丁烷的代谢产物和菌群结构，阐释微生物厌氧降解重烃气的机理，并探讨微生物厌氧降解重烃气产生的条件。通过对微生物降解重烃气改变煤层气组分的研究，深化对煤层气成因的认识，也为进一步揭示次生生物成因气生成机理提供新的理论依据。	"Researchers made a big progress on anaerobic degradation of gaseous alkanes (C2-C4) in recent years, demonstrated that gaseous alkanes could be degraded by sulfate-reducing bacteria, which provided a theoretical basis for microbial anaerobic degradation of heavy hydrocarbon gas (C2-C4) in coal seams. Coalbed methane of Enhong syncline in Yunnan province can be divided in to “dry gas area” and “wet gas area” according to content of heavy hydrocarbon gas. Geochemical characteristics of coalbed gas in “dry gas area” showed obvious biologic origin. Therefore, this project will study the microbial anaerobic degradation of heavy hydrocarbon gas in Enhong syncline. First, screen anaerobic bacteria from “dry gas area” which can degrade heavy hydrocarbon gas. Then simulate the process of microbial anaerobic degradation of heavy hydrocarbon gas respectively using ethane, propane, n-butane as the only substrate. Explain the mechanism of microbial anaerobic degradation of gaseous hydrocarbon by analysis of the metabolites and microbial clusters, and discuss the condition that microbial anaerobic can degrade gaseous hydrocarbon. Research on microbial degradation of heavy hydrocarbon gas will help us understand the origin of coalbed gas and provide theoretical basis for generation mechanism of secondary biogenic coalbed gas."	
微生物环境适应机制	31725003	环境微生物学 ( C0105 )	沈锡辉	教授	西北农林科技大学	350.00万元	国家杰出青年科学基金	2018 年 01 月 01 日 至 2022 年 12 月 31 日	微生物间及其与环境互作；分子机制；环境胁迫；氧化胁迫 ；细菌分泌系统	Microbe-environment interaction;Molecular mechanism;Environmental stress;Oxidative stress;Bacterial secretion system	细菌分泌系统的发现深刻地影响了病原细菌领域的发展，但对这一重要分子机器的其他生理功能所知极为有限。申请人近5年致力于细菌分泌系统的环境适应新功能研究，发现了细菌六型分泌系统T6SS分泌锌离子结合蛋白YezP转运锌离子并抗环境胁迫和宿主营养免疫，分泌锰离子结合蛋白TseM转运锰离子并抗氧化胁迫和参与非接触依赖细菌竞争，分泌群体感应信号分子PQS结合蛋白TseF而招募细菌外膜囊泡以转运铁离子的“T6SS金属离子转运三部曲”。该系列发现改变了当前对细菌分泌系统功能的认识，并为T6SS离子转运新方向的建立奠定了基础。近5年以通讯作者在Nat. Commun.，PNAS，Environ. Microbiol.等国际著名期刊发表SCI论文25篇，研究成果获得Faculty of 1000等点评。本项目将在前期工作基础上进一步从离子转运、生物膜形成、与外膜囊泡的协同角度深入揭示T6SS的环境适应功能。	"Bacterial secretion systems are sophisticated nanomachines essential for pathogenicity by translocating various virulence factors into the extracellular milieu or directly into recipient cells. The applicant’s research focuses on the understanding of the novel function of bacterial secretion systems in microbial adaptation to adverse environments. He is leading a highly productive research team that has published a total of 25 high impact research articles in the past five years alone, including several seminal discoveries on the activity of bacterial type VI secretion systems (T6SSs). The most significant three can be considered ""A trilogy of T6SS-dependent ion transport”, which reveal unprecedented functions of T6SSs. These include the secretion of the zinc-binding effector YezP by a T6SS of Yersinia pseudotuberculosis to facilitate zinc assimilation to combat environmental stress (PLoS Pathogens, 2015); the secretion of the manganese-binding effector TseM by Burkholderia thailandensis to transport manganese for contact-independent competition in bacterial communities (PNAS, 2017); and the secretion of TseF by a T6SS in Pseudomonas aeruginosa that integrates the Pseudomonas quinolone signal (PQS) and outer membrane vesicles for iron acquisition (Nature Communications, 2017). These discoveries not only establish novel roles for T6SSs, which have long been thought to function only in contact-dependent competition and the target of eukaryotic cells, but also shed insights into our understanding of metal ion acquisition by both environmental and pathogenic bacteria. These works have opened a new avenue of research for microbial science and will have lasting impact in both basic microbial biology and its application in medicine and fermentation industry. In this project we will further explore the environmental adaptation activities of T6SS from the perspective of ion transport, biofilm formation and its synergies with outer membrane vesicles."	
