课题	负责人	单位	金额	类型	学科代码	开始时间	具体链接
基于血外泌体代谢组学和肺CT影像组学预测新冠状病毒肺炎患者预后和抗病毒疗效及其机制研究	金阳	华中科技大学	120.0万元	医学科学	H1911医学科学部	202003	https://www.medsci.cn/sci/nsfc_show.do?id=1e7f9126600e
组学大数据解析植物演化过程中代谢组进化规律和种群特异代谢调控	吴雪婷	中国科学院上海生命科学研究院	25.0万元	青年科学基金项目	C060701生命科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=d75b8e613438
基于筛查队列和高维代谢组数据的食管癌前病变动态进展的风险预测研究	陈茹	中国医学科学院肿瘤医院	21.0万元	青年科学基金项目	H2610医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=36af8886603b
茜草属植物的抗肿瘤环肽RAs时空特征及其代谢组学与转录组学关联分析	张雪佳	中国药科大学	24.0万元	青年科学基金项目	C020601生命科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=bdca8911414b
基于代谢组学研究玉米大斑病菌漆酶影响病菌发育及致病的生化机制	刘宁	河北农业大学	24.0万元	青年科学基金项目	C140102生命科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=0964881510d7
组织微区药物-免疫-肿瘤互作表征的质谱成像代谢组学方法研究	贺玖明	中国医学科学院药物研究所	55.0万元	面上项目	H3010医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=089a8852200d
基于MAPK信号通路及代谢组学技术探讨当归芍药散对阿尔茨海默病和多囊卵巢综合征的“异病同治”的作用机制研究	付新	黑龙江中医药大学	54.0万元	面上项目	H2705医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=ed28895e59fc
基于质谱成像代谢组学的中药肝、肾毒性分析新方法发展及其应用研究	孙成龙	山东省科学院	21.0万元	青年科学基金项目	H3010医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=1b06896569e2
诸葛菜中抗辐射生物碱类活性成分及其基于代谢组学的机制研究	张广杰	中国人民解放军军事科学院军事医学研究院	20.0万元	青年科学基金项目	H3002医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=fdb68988091f
基于脂质代谢组学研究苏合香“温通心脉”改善心梗后线粒体能量代谢的作用机制	牟菲	中国人民解放军第四军医大学	21.0万元	青年科学基金项目	H2809医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=922990828128
基于转录组学和代谢组学的大黄品质差异形成的内在机制研究	周涛	西安交通大学	21.0万元	青年科学基金项目	H2801医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=69ed8805823a
