课题	负责人	单位	金额	类型	学科代码	开始时间	具体链接
基于牙结石古DNA高通量测序数据的人体口腔微生物组进化研究	黄冉冉	山东大学	58.0万元	面上项目	C010503生命科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=31298e8066cc
药用植物铁皮石斛根部微生物组与其道地性的关联研究	陈娟	中国医学科学院药用植物研究所	55.0万元	面上项目	H2801医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=24778e1284c8
基于诊断层特征解析均腐土土壤剖面微生物组成及与土壤理化性质关联研究	王光华	中国科学院东北地理与农业生态研究所	62.0万元	面上项目	D070402地球科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=89ec88e41994
云南白粉病发生与不发生草莓园的微生物组比较研究	崔晓龙	云南大学	40.0万元	地区科学基金项目	C030103生命科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=fbbc8e984261
不同时期母乳乳汁中的微生物组和功能性低聚糖对婴儿排便频次的调节机制研究	黄永坤	昆明医科大学	34.0万元	地区科学基金项目	H0306医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=b2f28e4537e7
寒地水稻土产甲烷微生物组群落结构特征及其功能基因组研究 	彭静静	中国农业大学	61.0万元	面上项目	D070104地球科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=42db9119824e
基于“代谢物组-微生物组深度关联分析策略”的2型糖尿病进展模式和时间特异性关联对研究	陈天璐	上海交通大学	56.0万元	面上项目	C210303生命科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=aa0d8e107461
生防伯克霍尔德菌A63在柑橘根表高效定殖的基因和微生物组基础	张云增	扬州大学	57.0万元	面上项目	C140601生命科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=0ff488344335
农田黑土植物和微生物组分积累的分异特征及其碳输入的调控机制	何红波	中国科学院沈阳应用生态研究所	61.0万元	面上项目	D070103地球科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=7a5f8853901d
盐胁迫下盐生植物与根际微生物组互作模式研究	赵帅	中国科学院新疆生态与地理研究所	58.0万元	面上项目	C030503生命科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=4e428e5627ca
基于孕前队列的口腔微生物组与胎盘菌群和妊娠结局的关联研究	蒋泓	复旦大学	55.0万元	面上项目	H2605医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=b11a8e759300
城市绿地微生物组多样性与其环境功能多样性研究	杨小茹	中国科学院城市环境研究所	61.0万元	面上项目	D070402地球科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=d5148984608d
动物肠道微生物组与动物高原低氧适应	张志刚	云南大学	58.0万元	面上项目	C060505生命科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=ad8b8833914e
水稻驯化对根际微生物组的选择及其驱动机制研究	田春杰	中国科学院东北地理与农业生态研究所	231.0万元	国际(地区)合作与交流项目	D070402地球科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=b9c289510974
内生微生物组对滇龙胆道地性的影响及作用机制的研究	刘卫红	大理大学	34.0万元	地区科学基金项目	H2804医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=658690994003
患者肠道微生物组与血流感染发生关系及其机制研究	肖永红	浙江大学	55.0万元	面上项目	H1912医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=b2df8e197114
基于巨大芽孢杆菌NCT-2的可培养核心微生物组构建及其组装机制	初少华	上海交通大学	24.0万元	青年科学基金项目	C150803生命科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=6ee288135220
基于功能微生物组学的红花黄色素治疗冠心病血瘀证的作用机制研究	乐世俊	陕西中医药大学	21.0万元	青年科学基金项目	H2803医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=dab2893138f3
真海鞘肠道微生物组学解析及活性成分功能鉴定	董波	中国海洋大学	58.0万元	面上项目	C0407生命科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=d93a904899c2
基于微生物组学研究电针对消化性溃疡的胃肠黏膜屏障重塑机制	杨宗保	厦门大学	52.0万元	面上项目	H2718医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=74b2898310e3
面向脑疾病的人体肠道微生物组学数据挖掘方法研究	赵兴明	复旦大学	306.0万元	重点项目	F020506信息科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=d95e90242446
肠道微生物组在高山兀鹫食腐食性中的作用和机制研究	王稳	青海大学	40.0万元	地区科学基金项目	C031202生命科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=aae890449058
营养调控肠道微生物组改善代谢性疾病	张晨虹	上海交通大学	120.0万元	优秀青年科学基金项目	C010503生命科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=4f7c89e01970
以口腔微生物群落为模型的跨时间尺度的微生物组学研究	徐振江	南昌大学	56.0万元	面上项目	C010402生命科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=e5e2906911c9
肺结核患者肺组织中微生物组及其代谢特征研究	杜伟丽	首都医科大学	24.0万元	青年科学基金项目	C010503生命科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=5f4b880e8046
苹果腐烂病潜伏侵染与其内生微生物组互作机理研究	刘丽	西南林业大学	38.0万元	地区科学基金项目	C160901生命科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=35c6909988eb
微流控微生物组分析	杜文斌	中国科学院微生物研究所	130.0万元	优秀青年科学基金项目	B040105化学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=40b180100e62
EEN通过活化核心微生物组功能维持内环境稳态的机制研究	高翔	中山大学	57.0万元	面上项目	H0310医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=9a3880503823
模拟微重力效应下小麦幼苗内生微生物组对宿主抗性调控机制研究	付玉明	北京航空航天大学	59.0万元	面上项目	C0507生命科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=da0f80524e14
基于液滴-质谱联用的单细胞精度微生物组代谢分析新方法研究	葛安乐	中国科学院青岛生物能源与过程研究所	28.0万元	青年科学基金项目	C0104生命科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=a6aae978201b
